Country of origin,Year,International total
Syrian,2017,6457677
Syrian,2018,6793950
Syrian,2019,6733699
Syrian,2020,6809995
Syrian,2021,6988619
Syrian,2022,6955985
Afghanistan,2017,2958251
Afghanistan,2018,2991374
Afghanistan,2019,2978603
Afghanistan,2020,2833618
Afghanistan,2021,2975729
Afghanistan,2022,3111205
Ukraine,2017,177251
Ukraine,2018,125213
Ukraine,2019,87835
Ukraine,2020,56582
Ukraine,2021,46988
Ukraine,2022,5480081
South Sudan,2017,2446340
South Sudan,2018,2298002
South Sudan,2019,2240421
South Sudan,2020,2193643
South Sudan,2021,2367796
South Sudan,2022,2368028
Myanmar,2017,1197830
Myanmar,2018,1175608
Myanmar,2019,1114283
Myanmar,2020,1143452
Myanmar,2021,1221205
Myanmar,2022,1259091
Sudan,2017,746747
Sudan,2018,792220
Sudan,2019,806797
Sudan,2020,857872
Sudan,2021,900454
Sudan,2022,927437
Central African,2017,558510
Central African,2018,608136
Central African,2019,626087
Central African,2020,655619
Central African,2021,751941
Central African,2022,751977
Venezuela,2017,157368
Venezuela,2018,485270
Venezuela,2019,887730
Venezuela,2020,1022377
Venezuela,2021,1170308
Venezuela,2022,1251151
Congo,2017,756957
Congo,2018,853724
Congo,2019,948476
Congo,2020,985764
Congo,2021,1056500
Congo,2022,1052103
Mexico,2017,96757
Mexico,2018,102664
Mexico,2019,116275
Mexico,2020,127126
Mexico,2021,134339
Mexico,2022,131947
Brazil,2017,7637
Brazil,2018,9608
Brazil,2019,13433
Brazil,2020,18405
Brazil,2021,28394
Brazil,2022,37568
Nigeria,2017,330901
Nigeria,2018,361458
Nigeria,2019,407960
Nigeria,2020,426193
Nigeria,2021,466765
Nigeria,2022,488717
China,2017,297224
China,2018,306390
China,2019,317111
China,2020,283432
China,2021,288698
China,2022,281210
Iran,2017,193718
Iran,2018,217308
Iran,2019,215091
Iran,2020,212247
Iran,2021,211934
Iran,2022,207283
Iraq,2017,635163
Iraq,2018,629048
Iraq,2019,639005
Iraq,2020,605767
Iraq,2021,598353
Iraq,2022,585773
Colombia,2017,224113
Colombia,2018,184257
Colombia,2019,264802
Colombia,2020,260783
Colombia,2021,196497
Colombia,2022,220345
Pakistan,2017,205799
Pakistan,2018,207585
Pakistan,2019,203147
Pakistan,2020,194709
Pakistan,2021,189505
Pakistan,2022,181462
Yemen,2017,48184
Yemen,2018,67021
Yemen,2019,70850
Yemen,2020,67303
Yemen,2021,73077
Yemen,2022,77675
