Country of asylum,Year,International total
Afghanistan,2017,76142
Afghanistan,2018,72509
Afghanistan,2019,72474
Afghanistan,2020,72445
Afghanistan,2021,67200
Afghanistan,2022,59781
Albania,2017,156
Albania,2018,291
Albania,2019,125
Albania,2020,105
Albania,2021,115
Albania,2022,2312
Algeria,2017,100601
Algeria,2018,103251
Algeria,2019,100246
Algeria,2020,99775
Algeria,2021,100020
Algeria,2022,101820
Angola,2017,71250
Angola,2018,69984
Angola,2019,55971
Angola,2020,56069
Angola,2021,56324
Angola,2022,56426
Anguilla,2019,0
Anguilla,2020,0
Anguilla,2021,0
Anguilla,2022,0
Antigua and Barbuda,2022,0
Argentina,2017,6781
Argentina,2018,8870
Argentina,2019,11150
Argentina,2020,12457
Argentina,2021,14387
Argentina,2022,14602
Armenia,2017,18030
Armenia,2018,18071
Armenia,2019,18138
Armenia,2020,108046
Armenia,2021,34909
Armenia,2022,34669
Aruba,2017,147
Aruba,2018,407
Aruba,2019,406
Aruba,2020,0
Aruba,2021,0
Aruba,2022,0
Australia,2017,91143
Australia,2018,110434
Australia,2019,128817
Australia,2020,131620
Australia,2021,130767
Australia,2022,130818
Austria,2017,165141
Austria,2018,159468
Austria,2019,155847
Austria,2020,155513
Austria,2021,172786
Austria,2022,260233
Azerbaijan,2017,1244
Azerbaijan,2018,1339
Azerbaijan,2019,1290
Azerbaijan,2020,1620
Azerbaijan,2021,1710
Azerbaijan,2022,6587
Bahamas,2017,23
Bahamas,2018,38
Bahamas,2019,23
Bahamas,2020,28
Bahamas,2021,23
Bahamas,2022,10
Bahrain,2017,366
Bahrain,2018,320
Bahrain,2019,309
Bahrain,2020,360
Bahrain,2021,446
Bahrain,2022,449
Bangladesh,2017,932324
Bangladesh,2018,906679
Bangladesh,2019,854813
Bangladesh,2020,866552
Bangladesh,2021,918955
Bangladesh,2022,929708
Barbados,2018,5
Barbados,2019,10
Barbados,2020,5
Barbados,2021,10
Belarus,2017,2428
Belarus,2018,2409
Belarus,2019,2856
Belarus,2020,3043
Belarus,2021,2843
Belarus,2022,13327
Belgium,2017,52955
Belgium,2018,53745
Belgium,2019,65381
Belgium,2020,86819
Belgium,2021,95189
Belgium,2022,140143
Belize,2017,3110
Belize,2018,3334
Belize,2019,2173
Belize,2020,2278
Belize,2021,2101
Belize,2022,2160
Benin,2017,1318
Benin,2018,1475
Benin,2019,1611
Benin,2020,1860
Benin,2021,2242
Benin,2022,2342
Bolivia (Plurinational State of),2017,836
Bolivia (Plurinational State of),2018,836
Bolivia (Plurinational State of),2019,1105
Bolivia (Plurinational State of),2020,1273
Bolivia (Plurinational State of),2021,1143
Bolivia (Plurinational State of),2022,1143
Bosnia and Herzegovina,2017,5447
Bosnia and Herzegovina,2018,6230
Bosnia and Herzegovina,2019,5966
Bosnia and Herzegovina,2020,5488
Bosnia and Herzegovina,2021,390
Bosnia and Herzegovina,2022,483
Botswana,2017,2181
Botswana,2018,2312
Botswana,2019,1263
Botswana,2020,1039
Botswana,2021,746
Botswana,2022,812
Brazil,2017,95948
Brazil,2018,163912
Brazil,2019,240073
Brazil,2020,261688
Brazil,2021,261126
Brazil,2022,267607
Bulgaria,2017,20881
Bulgaria,2018,20460
Bulgaria,2019,20466
Bulgaria,2020,22026
Bulgaria,2021,29339
Bulgaria,2022,153989
Burkina Faso,2017,24195
Burkina Faso,2018,25160
Burkina Faso,2019,25898
Burkina Faso,2020,20282
Burkina Faso,2021,34423
Burkina Faso,2022,34569
Burundi,2017,65904
Burundi,2018,77159
Burundi,2019,87460
Burundi,2020,80375
Burundi,2021,85788
Burundi,2022,85858
Cambodia,2017,105
Cambodia,2019,27
Cambodia,2020,12
Cambodia,2021,36
Cambodia,2022,36
Cameroon,2017,343147
Cameroon,2018,388419
Cameroon,2019,416189
Cameroon,2020,443205
Cameroon,2021,465287
Cameroon,2022,483974
Canada,2017,155980
Canada,2018,190480
Canada,2019,188132
Canada,2020,178258
Canada,2021,172738
Canada,2022,119382
Cayman Islands,2017,57
Cayman Islands,2018,61
Cayman Islands,2019,48
Cayman Islands,2020,66
Cayman Islands,2021,87
Cayman Islands,2022,225
Central African Rep.,2017,10604
Central African Rep.,2018,7049
Central African Rep.,2019,7479
Central African Rep.,2020,9368
Central African Rep.,2021,10070
Central African Rep.,2022,11326
Chad,2017,412135
Chad,2018,454670
Chad,2019,446426
Chad,2020,483217
Chad,2021,560487
Chad,2022,585061
Chile,2017,9890
Chile,2018,13523
Chile,2019,10070
Chile,2020,9681
Chile,2021,11744
Chile,2022,12290
China,2017,322405
China,2018,322341
China,2019,304023
China,2020,304148
China,2021,304221
China,2022,1126
"China, Hong Kong SAR",2017,90
"China, Hong Kong SAR",2018,128
"China, Hong Kong SAR",2019,128
"China, Hong Kong SAR",2020,245
"China, Hong Kong SAR",2021,271
"China, Hong Kong SAR",2022,278
"China, Macao SAR",2017,5
Colombia,2017,785
Colombia,2018,3145
Colombia,2019,9610
Colombia,2020,20756
Colombia,2021,30419
Colombia,2022,28436
Comoros,2021,27
Comoros,2022,19
Congo,2017,55601
Congo,2018,46667
Congo,2019,40085
Congo,2020,40719
Congo,2021,54435
Congo,2022,54751
Costa Rica,2017,11706
Costa Rica,2018,36925
Costa Rica,2019,62298
Costa Rica,2020,59837
Costa Rica,2021,162731
Costa Rica,2022,215906
Cote d'Ivoire,2017,1927
Cote d'Ivoire,2018,2006
Cote d'Ivoire,2019,2171
Cote d'Ivoire,2020,2310
Cote d'Ivoire,2021,4478
Cote d'Ivoire,2022,5761
Croatia,2017,909
Croatia,2018,975
Croatia,2019,1360
Croatia,2020,1511
Croatia,2021,1571
Croatia,2022,17475
Cuba,2017,358
Cuba,2018,311
Cuba,2019,265
Cuba,2020,232
Cuba,2021,213
Cuba,2022,94
Curacao ,2017,803
Curacao ,2018,441
Curacao ,2019,387
Curacao ,2020,386
Curacao ,2021,0
Curacao ,2022,0
Cyprus,2017,14941
Cyprus,2018,21205
Cyprus,2019,31046
Cyprus,2020,33557
Cyprus,2021,41460
Cyprus,2022,63329
Czechia,2017,4120
Czechia,2018,2906
Czechia,2019,2701
Czechia,2020,2412
Czechia,2021,2365
Czechia,2022,388930
Dem. Rep. of the Congo,2017,537896
Dem. Rep. of the Congo,2018,534835
Dem. Rep. of the Congo,2019,526925
Dem. Rep. of the Congo,2020,491723
Dem. Rep. of the Congo,2021,526366
Dem. Rep. of the Congo,2022,518501
Denmark,2017,36463
Denmark,2018,36273
Denmark,2019,35907
Denmark,2020,34926
Denmark,2021,34553
Denmark,2022,63145
Djibouti,2017,26910
Djibouti,2018,28772
Djibouti,2019,30792
Djibouti,2020,32004
Djibouti,2021,34695
Djibouti,2022,35532
Dominican Rep.,2017,1444
Dominican Rep.,2018,491
Dominican Rep.,2019,725
Dominican Rep.,2020,787
Dominican Rep.,2021,804
Dominican Rep.,2022,1188
Ecuador,2017,59274
Ecuador,2018,68618
Ecuador,2019,129530
Ecuador,2020,130547
Ecuador,2021,63714
Ecuador,2022,70459
Egypt,2017,289194
Egypt,2018,314904
Egypt,2019,324690
Egypt,2020,329261
Egypt,2021,341073
Egypt,2022,359469
El Salvador,2017,45
El Salvador,2018,60
El Salvador,2019,77
