Country of origin,Year,International total
Afghanistan,2017,2958251
Afghanistan,2018,2991374
Afghanistan,2019,2978603
Afghanistan,2020,2833618
Afghanistan,2021,2975729
Afghanistan,2022,3111205
Albania,2017,30929
Albania,2018,34583
Albania,2019,34034
Albania,2020,33151
Albania,2021,42178
Albania,2022,44782
Algeria,2017,10453
Algeria,2018,11628
Algeria,2019,12217
Algeria,2020,12350
Algeria,2021,12874
Algeria,2022,14376
Andorra,2017,5
Andorra,2020,5
Andorra,2021,5
Andorra,2022,11
Angola,2017,16111
Angola,2018,17147
Angola,2019,18948
Angola,2020,20598
Angola,2021,24095
Angola,2022,25675
Anguilla,2020,5
Anguilla,2021,5
Anguilla,2022,5
Antigua and Barbuda,2017,162
Antigua and Barbuda,2018,154
Antigua and Barbuda,2019,182
Antigua and Barbuda,2020,159
Antigua and Barbuda,2021,160
Antigua and Barbuda,2022,104
Argentina,2017,473
Argentina,2018,601
Argentina,2019,1031
Argentina,2020,1288
Argentina,2021,1898
Argentina,2022,2239
Armenia,2017,25693
Armenia,2018,24737
Armenia,2019,22059
Armenia,2020,19184
Armenia,2021,21546
Armenia,2022,24974
Aruba,2021,0
Australia,2017,20
Australia,2018,27
Australia,2019,70
Australia,2020,32
Australia,2021,37
Australia,2022,75
Austria,2017,36
Austria,2018,34
Austria,2019,28
Austria,2020,18
Austria,2021,28
Austria,2022,31
Azerbaijan,2017,20434
Azerbaijan,2018,20564
Azerbaijan,2019,19858
Azerbaijan,2020,107893
Azerbaijan,2021,44713
Azerbaijan,2022,46956
Bahamas,2017,613
Bahamas,2018,812
Bahamas,2019,1029
Bahamas,2020,1229
Bahamas,2021,1394
Bahamas,2022,1505
Bahrain,2017,669
Bahrain,2018,676
Bahrain,2019,713
Bahrain,2020,652
Bahrain,2021,553
Bahrain,2022,503
Bangladesh,2017,84898
Bangladesh,2018,79865
Bangladesh,2019,85626
Bangladesh,2020,83584
Bangladesh,2021,88167
Bangladesh,2022,90468
Barbados,2017,248
Barbados,2018,292
Barbados,2019,359
Barbados,2020,350
Barbados,2021,356
Barbados,2022,361
Belarus,2017,6512
Belarus,2018,6808
Belarus,2019,7437
Belarus,2020,7837
Belarus,2021,11431
Belarus,2022,16151
Belgium,2017,89
Belgium,2018,129
Belgium,2019,139
Belgium,2020,90
Belgium,2021,118
Belgium,2022,123
Belize,2017,270
Belize,2018,287
Belize,2019,351
Belize,2020,382
Belize,2021,450
Belize,2022,464
Benin,2017,1703
Benin,2018,1737
Benin,2019,1935
Benin,2020,1956
Benin,2021,2112
Benin,2022,2136
Bhutan,2017,8354
Bhutan,2018,7490
Bhutan,2019,7252
Bhutan,2020,7152
Bhutan,2021,7189
Bhutan,2022,7173
Bolivia (Plurinational State of),2017,1385
Bolivia (Plurinational State of),2018,1506
Bolivia (Plurinational State of),2019,1752
Bolivia (Plurinational State of),2020,1905
Bolivia (Plurinational State of),2021,2379
Bolivia (Plurinational State of),2022,2367
Bosnia and Herzegovina,2017,19576
Bosnia and Herzegovina,2018,18575
Bosnia and Herzegovina,2019,18043
Bosnia and Herzegovina,2020,16936
Bosnia and Herzegovina,2021,19820
Bosnia and Herzegovina,2022,19577
Botswana,2017,374
Botswana,2018,378
Botswana,2019,367
Botswana,2020,325
Botswana,2021,335
Botswana,2022,466
Brazil,2017,7637
Brazil,2018,9608
Brazil,2019,13433
Brazil,2020,18405
Brazil,2021,28394
Brazil,2022,37568
Brunei Darussalam,2017,9
Brunei Darussalam,2019,10
Brunei Darussalam,2020,10
Brunei Darussalam,2021,5
Brunei Darussalam,2022,6
Bulgaria,2017,1032
Bulgaria,2018,987
Bulgaria,2019,910
Bulgaria,2020,860
Bulgaria,2021,795
Bulgaria,2022,949
Burkina Faso,2017,8251
Burkina Faso,2018,16396
Burkina Faso,2019,16729
Burkina Faso,2020,20804
Burkina Faso,2021,25794
Burkina Faso,2022,52360
Burundi,2017,499753
Burundi,2018,441210
Burundi,2019,434066
Burundi,2020,423178
Burundi,2021,375806
Burundi,2022,371371
Cabo Verde,2017,186
Cabo Verde,2018,216
Cabo Verde,2019,260
Cabo Verde,2020,263
Cabo Verde,2021,283
Cabo Verde,2022,290
Cambodia,2017,13816
Cambodia,2018,12888
Cambodia,2019,12832
Cambodia,2020,12778
Cambodia,2021,12965
Cambodia,2022,12492
Cameroon,2017,35639
Cameroon,2018,63756
Cameroon,2019,88106
Cameroon,2020,101494
Cameroon,2021,147628
Cameroon,2022,159937
Canada,2017,153
Canada,2018,160
Canada,2019,159
Canada,2020,173
Canada,2021,186
Canada,2022,317
Cayman Islands,2017,6
Cayman Islands,2018,6
Cayman Islands,2019,6
Cayman Islands,2020,5
Cayman Islands,2021,5
Cayman Islands,2022,5
Central African Rep.,2017,558510
Central African Rep.,2018,608136
Central African Rep.,2019,626087
Central African Rep.,2020,655619
Central African Rep.,2021,751941
Central African Rep.,2022,751977
Chad,2017,19430
Chad,2018,15296
Chad,2019,16498
Chad,2020,16612
Chad,2021,19343
Chad,2022,20162
Chile,2017,843
Chile,2018,993
Chile,2019,1737
Chile,2020,2770
Chile,2021,10045
Chile,2022,11229
China,2017,297224
China,2018,306390
China,2019,317111
China,2020,283432
China,2021,288698
China,2022,281210
"China, Hong Kong SAR",2017,115
"China, Hong Kong SAR",2018,33
"China, Hong Kong SAR",2019,227
"China, Hong Kong SAR",2020,502
"China, Hong Kong SAR",2021,912
"China, Hong Kong SAR",2022,869
Colombia,2017,224113
Colombia,2018,184257
Colombia,2019,264802
Colombia,2020,260783
Colombia,2021,196497
Colombia,2022,220345
Comoros,2017,922
Comoros,2018,1124
Comoros,2019,2117
Comoros,2020,3436
Comoros,2021,3503
Comoros,2022,3164
Congo,2017,26363
Congo,2018,25116
Congo,2019,23970
Congo,2020,25426
